YEAR,RANK,TEAM,WLT,PCT,PTS,MOVES
2015,1,Kris,132-92-18,0.583,282,20
2015,2,Nik,128-94-20,0.57,276,56
2015,3,Cody,130-95-17,0.572,277,47
2015,4,Kyle,119-97-26,0.545,264,20
2015,5,Eoghan,116-104-22,0.525,254,35
2015,6,AL,111-102-29,0.519,251,35
2015,7,Mike,109-111-22,0.496,240,40
2015,8,Kalen,89-129-24,0.417,202,12
2015,9,Darren,74-141-27,0.362,175,29
2015,10,Jowo,89-132-21,0.411,199,46
2016,1,Mike,123-109-20,0.528,266,24
2016,2,Luis,130-108-14,0.544,274,17
2016,3,Eoghan,127-103-22,0.548,276,30
2016,4,David,134-101-17,0.565,285,30
2016,5,Nik,119-113-20,0.512,258,29
2016,6,Chase,123-100-29,0.546,275,12
2016,7,Kyle,112-119-21,0.486,245,14
2016,8,AL,127-104-21,0.546,275,20
2016,9,Jowo,107-125-20,0.464,234,29
2016,10,Clem,106-126-20,0.46,232,27
2016,11,Cody,93-134-25,0.419,211,27
2016,12,Kris,86-145-21,0.383,193,19
2017,1,Nik,130-108-22,0.542,282,35
2017,2,Cody,137-105-18,0.562,292,35
2017,3,Clem,140-103-17,0.571,297,18
2017,4,Kyle,133-102-25,0.56,291,30
2017,5,Eoghan,123-112-25,0.521,271,31
2017,6,Kris,117-110-33,0.513,267,35
2017,7,David,124-117-19,0.513,267,21
2017,8,Mike,121-116-23,0.51,265,21
2017,9,Jowo,107-120-33,0.475,247,25
2017,10,Chase,103-139-18,0.431,224,6
2017,11,AL,95-138-27,0.417,217,33
2017,12,Luis,88-148-24,0.385,200,11
2018,1,Nik,134-94-32,0.577,300,36
2018,2,Chase,110-123-27,0.475,247,20
2018,3,Kris,118-120-22,0.496,258,40
2018,4,Mike,110-122-28,0.477,248,33
2018,5,Kyle,133-96-31,0.571,297,18
2018,6,Eoghan,133-102-25,0.56,291,27
2018,7,Jowo,133-97-30,0.569,296,22
2018,8,AL,109-125-26,0.469,244,27
2018,9,David,107-124-29,0.467,243,11
2018,10,Gavin,100-126-34,0.45,234,23
2018,11,Clem,108-135-17,0.448,233,26
2018,12,Cody,101-132-27,0.44,229,35
2019,1,Nik,125-114-21,0.521,271,40
2019,2,Mike,127-113-20,0.527,274,31
2019,3,Riley,109-120-31,0.479,249,40
2019,4,Kris,129-100-31,0.556,289,39
2019,5,Kyle,149-77-34,0.638,332,25
2019,6,Cody,118-113-29,0.51,265,37
2019,7,AL,121-116-23,0.51,265,17
2019,8,Paolo,117-114-29,0.506,263,26
2019,9,Eoghan,108-121-31,0.475,247,33
2019,10,Chase,102-124-34,0.458,238,10
2019,11,Jowo,100-133-27,0.437,227,18
2019,12,Chris,81-141-38,0.385,200,11
2020,,Kris,144-102-27,0.577,315,26
2020,,Kyle,131-110-32,0.538,294,32
2020,,Eoghan,128-114-31,0.526,287,38
2020,,Mike,126-113-34,0.524,286,24
2020,,Nik,126-115-32,0.52,284,37
2020,,AL,127-117-29,0.518,283,24
2020,,Jowo,124-119-30,0.509,278,38
2020,,Riley,118-119-36,0.498,272,37
2020,9,Paolo,117-127-29,0.482,263,28
2020,10,Kevin,111-133-29,0.46,251,40
2020,11,Cody,110-139-24,0.447,244,34
2020,12,Chase,97-151-25,0.401,219,38
2021,2,Kris,87-68-14,0.556,188,37
2021,3.5,Kyle,83-68-18,0.544,184,36
2021,8,Eoghan,82-71-16,0.533,180,37
2021,8,Mike,76-78-15,0.494,167,25
2021,3.5,Nik,83-70-16,0.538,182,39
2021,10,AL,66-83-20,0.45,152,26
2021,12,Jowo,48-101-20,0.343,116,16
2021,8,Riley,80-74-15,0.518,175,34
2021,8,Paolo,68-84-17,0.453,153,23
2021,11,David,66-86-17,0.441,149,26
2021,1,Cody,90-57-22,0.598,202,39
2021,6,Chase,81-70-18,0.533,180,35
